Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
07_2024,PR,H_QUIET_HSP,13,27,60
07_2024,PR,H_RECMND,13,32,55
07_2024,RI,H_CLEAN_HSP,8,17,75
07_2024,RI,H_COMP_1,5,15,80
07_2024,RI,H_COMP_2,5,15,80
07_2024,RI,H_COMP_3,11,26,63
07_2024,RI,H_COMP_5,21,18,61
07_2024,RI,H_COMP_6,13,0,87
07_2024,RI,H_COMP_7,6,42,52
07_2024,RI,H_HSP_RATING,9,22,69
07_2024,RI,H_QUIET_HSP,14,32,54
07_2024,RI,H_RECMND,6,24,70
07_2024,SC,H_CLEAN_HSP,13,19,68
07_2024,SC,H_COMP_1,5,15,80
07_2024,SC,H_COMP_2,5,14,81
07_2024,SC,H_COMP_3,12,25,63
07_2024,SC,H_COMP_5,21,17,62
07_2024,SC,H_COMP_6,15,0,85
07_2024,SC,H_COMP_7,6,43,51
07_2024,SC,H_HSP_RATING,9,21,70
07_2024,SC,H_QUIET_HSP,9,28,63
07_2024,SC,H_RECMND,6,25,69
07_2024,SD,H_CLEAN_HSP,7,15,78
07_2024,SD,H_COMP_1,2,14,84
07_2024,SD,H_COMP_2,3,12,85
07_2024,SD,H_COMP_3,5,18,77
07_2024,SD,H_COMP_5,14,16,70
07_2024,SD,H_COMP_6,13,0,87
07_2024,SD,H_COMP_7,4,39,57
07_2024,SD,H_HSP_RATING,5,16,79
07_2024,SD,H_QUIET_HSP,5,24,71
07_2024,SD,H_RECMND,3,20,77
07_2024,TN,H_CLEAN_HSP,10,19,71
07_2024,TN,H_COMP_1,5,15,80
07_2024,TN,H_COMP_2,5,14,81
07_2024,TN,H_COMP_3,10,25,65
07_2024,TN,H_COMP_5,20,18,62
07_2024,TN,H_COMP_6,15,0,85
07_2024,TN,H_COMP_7,6,44,50
07_2024,TN,H_HSP_RATING,9,21,70
07_2024,TN,H_QUIET_HSP,8,27,65
07_2024,TN,H_RECMND,7,24,69
07_2024,TX,H_CLEAN_HSP,8,16,76
07_2024,TX,H_COMP_1,4,16,80
07_2024,TX,H_COMP_2,5,14,81
07_2024,TX,H_COMP_3,10,21,69
07_2024,TX,H_COMP_5,19,17,64
07_2024,TX,H_COMP_6,14,0,86
07_2024,TX,H_COMP_7,6,40,54
07_2024,TX,H_HSP_RATING,8,18,74
07_2024,TX,H_QUIET_HSP,7,24,69
07_2024,TX,H_RECMND,6,21,73
07_2024,UT,H_CLEAN_HSP,7,17,76
07_2024,UT,H_COMP_1,4,15,81
07_2024,UT,H_COMP_2,4,14,82
07_2024,UT,H_COMP_3,8,23,69
07_2024,UT,H_COMP_5,19,19,62
07_2024,UT,H_COMP_6,12,0,88
07_2024,UT,H_COMP_7,5,39,56
07_2024,UT,H_HSP_RATING,6,18,76
07_2024,UT,H_QUIET_HSP,7,30,63
07_2024,UT,H_RECMND,4,20,76
07_2024,VA,H_CLEAN_HSP,10,19,71
07_2024,VA,H_COMP_1,4,17,79
07_2024,VA,H_COMP_2,5,16,79
07_2024,VA,H_COMP_3,11,27,62
07_2024,VA,H_COMP_5,21,19,60
07_2024,VA,H_COMP_6,14,0,86
07_2024,VA,H_COMP_7,6,43,51
07_2024,VA,H_HSP_RATING,9,21,70
07_2024,VA,H_QUIET_HSP,9,31,60
07_2024,VA,H_RECMND,6,26,68
07_2024,VT,H_CLEAN_HSP,7,16,77
07_2024,VT,H_COMP_1,4,15,81
07_2024,VT,H_COMP_2,4,15,81
07_2024,VT,H_COMP_3,7,24,69
07_2024,VT,H_COMP_5,17,21,62
07_2024,VT,H_COMP_6,11,0,89
07_2024,VT,H_COMP_7,4,42,54
07_2024,VT,H_HSP_RATING,7,21,72
07_2024,VT,H_QUIET_HSP,11,36,53
07_2024,VT,H_RECMND,5,23,72
07_2024,WA,H_CLEAN_HSP,9,18,73
07_2024,WA,H_COMP_1,4,18,78
07_2024,WA,H_COMP_2,5,17,78
07_2024,WA,H_COMP_3,10,27,63
07_2024,WA,H_COMP_5,21,21,58
07_2024,WA,H_COMP_6,13,0,87
07_2024,WA,H_COMP_7,6,44,50
07_2024,WA,H_HSP_RATING,9,22,69
07_2024,WA,H_QUIET_HSP,12,33,55
07_2024,WA,H_RECMND,6,26,68
07_2024,WI,H_CLEAN_HSP,6,17,77
07_2024,WI,H_COMP_1,3,14,83
07_2024,WI,H_COMP_2,3,15,82
07_2024,WI,H_COMP_3,6,23,71
07_2024,WI,H_COMP_5,15,19,66
07_2024,WI,H_COMP_6,10,0,90
07_2024,WI,H_COMP_7,4,40,56
07_2024,WI,H_HSP_RATING,6,18,76
07_2024,WI,H_QUIET_HSP,6,28,66
07_2024,WI,H_RECMND,4,22,74
07_2024,WV,H_CLEAN_HSP,8,18,74
07_2024,WV,H_COMP_1,4,14,82
07_2024,WV,H_COMP_2,5,14,81
07_2024,WV,H_COMP_3,7,21,72
07_2024,WV,H_COMP_5,17,18,65
07_2024,WV,H_COMP_6,13,0,87
07_2024,WV,H_COMP_7,5,41,54
07_2024,WV,H_HSP_RATING,8,20,72
07_2024,WV,H_QUIET_HSP,9,30,61
07_2024,WV,H_RECMND,6,24,70
07_2024,WY,H_CLEAN_HSP,7,17,76
07_2024,WY,H_COMP_1,3,15,82
07_2024,WY,H_COMP_2,4,13,83
07_2024,WY,H_COMP_3,5,21,74
07_2024,WY,H_COMP_5,15,19,66
07_2024,WY,H_COMP_6,11,0,89
07_2024,WY,H_COMP_7,4,41,55
07_2024,WY,H_HSP_RATING,8,19,73
07_2024,WY,H_QUIET_HSP,6,28,66
07_2024,WY,H_RECMND,6,26,68
